Jahr;Monat;Insgesamt
2010;Januar;3610046
2010;Februar;3635346
2010;März;3560493
2010;April;3400163
2010;Mai;3236363
2010;Juni;3148611
2010;Juli;3186929
2010;August;3183217
2010;September;3026830
2010;Oktober;2941020
2010;November;2926971
2010;Dezember;3011586
2011;Januar;3345974
2011;Februar;3313207
2011;März;3211229
2011;April;3078569
2011;Mai;2960620
2011;Juni;2893990
2011;Juli;2939945
2011;August;2945545
2011;September;2796310
2011;Oktober;2737666
2011;November;2713813
2011;Dezember;2780984
2012;Januar;3084711
2012;Februar;3110442
2012;März;3028414
2012;April;2963570
2012;Mai;2855270
2012;Juni;2809107
2012;Juli;2875971
2012;August;2905113
2012;September;2788249
2012;Oktober;2753361
2012;November;2751485
2012;Dezember;2839824
2013;Januar;3138232
2013;Februar;3156246
2013;März;3097817
2013;April;3020275
2013;Mai;2936915
2013;Juni;2864666
2013;Juli;2914096
2013;August;2945710
2013;September;2848950
2013;Oktober;2801191
2013;November;2806146
2013;Dezember;2873806
2014;Januar;3135802
2014;Februar;3137867
2014;März;3054722
2014;April;2943335
2014;Mai;2882029
2014;Juni;2832780
2014;Juli;2871351
2014;August;2901823
2014;September;2807806
2014;Oktober;2732769
2014;November;2716852
2014;Dezember;2763521
2015;Januar;3031604
2015;Februar;3017003
2015;März;2931505
2015;April;2842844
2015;Mai;2761696
2015;Juni;2711187
2015;Juli;2772642
2015;August;2795597
2015;September;2708043
2015;Oktober;2649277
2015;November;2633157
2015;Dezember;2681415
2016;Januar;2920421
2016;Februar;2911165
2016;März;2844891
2016;April;2743864
2016;Mai;2664014
2016;Juni;2614217
2016;Juli;2661042
2016;August;2684289
2016;September;2607607
2016;Oktober;2539939
2016;November;2531975
2016;Dezember;2568273
2017;Januar;2777387
2017;Februar;2762095
2017;März;2662111
2017;April;2568612
2017;Mai;2497718
2017;Juni;2472642
2017;Juli;2517645
2017;August;2544845
2017;September;2448910
2017;Oktober;2388711
2017;November;2368411
2017;Dezember;2384961
2018;Januar;2570311
2018;Februar;2545936
2018;März;2458110
2018;April;2383752
2018;Mai;2315487
2018;Juni;2275787
2018;Juli;2324746
2018;August;2350876
2018;September;2256473
2018;Oktober;2203851
2018;November;2186109
2018;Dezember;2209546
2019;Januar;2405586
2019;Februar;2372700
2019;März;2301121
2019;April;2228876
2019;Mai;2235969
2019;Juni;2216243
2019;Juli;2275461
2019;August;2319408
2019;September;2234030
2019;Oktober;2204090
2019;November;2179999
2019;Dezember;2227159
2020;Januar;2425523
2020;Februar;2395604
2020;März;2335367
2020;April;2643744
2020;Mai;2812986
2020;Juni;2853307
2020;Juli;2910008
2020;August;2955487
2020;September;2847148
2020;Oktober;2759780
2020;November;2699133
2020;Dezember;2707242
2021;Januar;2900663
2021;Februar;2904413
2021;März;2827449
2021;April;2771232
2021;Mai;2687191
2021;Juni;2613825
2021;Juli;2590310
2021;August;2578471
2021;September;2464793
2021;Oktober;2376925
2021;November;2317067
2021;Dezember;2329529
2022;Januar;2462162
2022;Februar;2427956
2022;März;2362162
2022;April;2309207
2022;Mai;2259648
2022;Juni;2362888
2022;Juli;2470243
2022;August;2547344
2022;September;2485738
2022;Oktober;2442345
2022;November;2434021
2022;Dezember;2453879
2023;Januar;2616019
2023;Februar;2620169
2023;März;2593774
2023;April;2585677
2023;Mai;2543743
2023;Juni;2554982
2023;Juli;2617192
2023;August;2695827
2023;September;2627099
2023;Oktober;2607116
2023;November;2605732
2023;Dezember;2636728
2024;Januar;2805376
2024;Februar;2813813
2024;März;2769282
2024;April;2749578
2024;Mai;2722548
2024;Juni;2726572
2024;Juli;2808720
2024;August;2871913
2024;September;2806361
2024;Oktober;2790529
2024;November;2774028
2024;Dezember;2806625
2025;Januar;2992658
2025;Februar;2989220
2025;März;2967080
2025;April;2931554
2025;Mai;2919139
2025;Juni;2914256
2025;Juli;2979486
2025;August;3025136
2025;September;2954747
2025;Oktober;
2025;November;
2025;Dezember;
