Zeit,Schulart,Geschlecht,Schulabschluss,Anzahl
2009/10,Insgesamt,Insgesamt,Allgemeine Hochschulreife,268194
2010/11,Insgesamt,Insgesamt,Allgemeine Hochschulreife,311166
2011/12,Insgesamt,Insgesamt,Allgemeine Hochschulreife,305172
2012/13,Insgesamt,Insgesamt,Allgemeine Hochschulreife,319293
2013/14,Insgesamt,Insgesamt,Allgemeine Hochschulreife,280490
2014/15,Insgesamt,Insgesamt,Allgemeine Hochschulreife,287862
2015/16,Insgesamt,Insgesamt,Allgemeine Hochschulreife,297167
2016/17,Insgesamt,Insgesamt,Allgemeine Hochschulreife,287298
2017/18,Insgesamt,Insgesamt,Allgemeine Hochschulreife,282552
2018/19,Insgesamt,Insgesamt,Allgemeine Hochschulreife,277308
2019/20,Insgesamt,Insgesamt,Allgemeine Hochschulreife,247236
2020/21,Insgesamt,Insgesamt,Allgemeine Hochschulreife,263428
2021/22,Insgesamt,Insgesamt,Allgemeine Hochschulreife,259344
2022/23,Insgesamt,Insgesamt,Allgemeine Hochschulreife,259230
