Jahr;Monat;Insgesamt;Jugendliche unter 20 Jahre;Jüngere unter 25 Jahre
2010;Januar;3610046;57148;360602
2010;Februar;3635346;59440;382086
2010;März;3560493;58133;371767
2010;April;3400163;52535;334294
2010;Mai;3236363;48849;306287
2010;Juni;3148611;48086;297688
2010;Juli;3186929;65994;360551
2010;August;3183217;75453;370701
2010;September;3026830;58256;317839
2010;Oktober;2941020;49709;277204
2010;November;2926971;45211;261969
2010;Dezember;3011586;44789;265585
2011;Januar;3345974;47682;305043
2011;Februar;3313207;48918;314853
2011;März;3211229;46995;299836
2011;April;3078569;44441;277247
2011;Mai;2960620;42298;258341
2011;Juni;2893990;42150;254331
2011;Juli;2939945;55503;309772
2011;August;2945545;67230;328641
2011;September;2796310;51517;279671
2011;Oktober;2737666;44014;247149
2011;November;2713813;41247;234317
2011;Dezember;2780984;41317;240026
2012;Januar;3084711;44243;275429
2012;Februar;3110442;46240;293366
2012;März;3028414;45214;284187
2012;April;2963570;43310;268963
2012;Mai;2855270;41917;253570
2012;Juni;2809107;42413;254801
2012;Juli;2875971;52460;300905
2012;August;2905113;63881;323443
2012;September;2788249;51471;282875
2012;Oktober;2753361;44527;253747
2012;November;2751485;42454;246603
2012;Dezember;2839824;42359;251833
2013;Januar;3138232;44717;283551
2013;Februar;3156246;45937;299223
2013;März;3097817;45301;290951
2013;April;3020275;43416;276538
2013;Mai;2936915;41651;261803
2013;Juni;2864666;41559;257746
2013;Juli;2914096;51649;301519
2013;August;2945710;62200;321164
2013;September;2848950;51222;282229
2013;Oktober;2801191;44891;251050
2013;November;2806146;42938;243874
2013;Dezember;2873806;42789;245688
2014;Januar;3135802;44687;271368
2014;Februar;3137867;46187;284559
2014;März;3054722;45223;274781
2014;April;2943335;42781;256789
2014;Mai;2882029;40801;243676
2014;Juni;2832780;40198;238344
2014;Juli;2871351;48150;276742
2014;August;2901823;61338;305427
2014;September;2807806;52624;271964
2014;Oktober;2732769;43914;231780
2014;November;2716852;41498;222135
2014;Dezember;2763521;41174;222044
2015;Januar;3031604;42927;245659
2015;Februar;3017003;44245;258026
2015;März;2931505;44276;249487
2015;April;2842844;42073;233943
2015;Mai;2761696;40667;222301
2015;Juni;2711187;40528;220586
2015;Juli;2772642;49026;258239
2015;August;2795597;59929;279938
2015;September;2708043;51107;248308
2015;Oktober;2649277;45417;219808
2015;November;2633157;43844;212359
2015;Dezember;2681415;44048;213907
2016;Januar;2920421;46034;235865
2016;Februar;2911165;47689;248207
2016;März;2844891;48110;245141
2016;April;2743864;46698;234714
2016;Mai;2664014;45800;226550
2016;Juni;2614217;45671;226563
2016;Juli;2661042;55084;265117
2016;August;2684289;65026;284119
2016;September;2607607;57387;258389
2016;Oktober;2539939;50894;229819
2016;November;2531975;48261;219974
2016;Dezember;2568273;47478;219562
2017;Januar;2777387;48090;239192
2017;Februar;2762095;48587;248451
2017;März;2662111;47037;238775
2017;April;2568612;44571;225530
2017;Mai;2497718;42550;215403
2017;Juni;2472642;42628;217252
2017;Juli;2517645;52035;254402
2017;August;2544845;61444;269470
2017;September;2448910;52769;239545
2017;Oktober;2388711;47272;215175
2017;November;2368411;44129;203755
2017;Dezember;2384961;42970;201379
2018;Januar;2570311;43662;217360
2018;Februar;2545936;44193;224954
2018;März;2458110;42888;215518
2018;April;2383752;40764;204371
2018;Mai;2315487;38924;195038
2018;Juni;2275787;38978;196540
2018;Juli;2324746;48334;232646
2018;August;2350876;57141;245492
2018;September;2256473;49415;219101
2018;Oktober;2203851;44390;197689
2018;November;2186109;41678;188416
2018;Dezember;2209546;40745;186977
2019;Januar;2405586;41291;202224
2019;Februar;2372700;41718;210034
2019;März;2301121;40789;203982
2019;April;2228876;39112;194450
2019;Mai;2235969;38284;191349
2019;Juni;2216243;38623;193994
2019;Juli;2275461;46708;227457
2019;August;2319408;56528;242832
2019;September;2234030;48437;217637
2019;Oktober;2204090;44040;197996
2019;November;2179999;42138;190753
2019;Dezember;2227159;41555;191898
2020;Januar;2425523;42210;208263
2020;Februar;2395604;42578;216299
2020;März;2335367;41786;211564
2020;April;2643744;46705;250640
2020;Mai;2812986;49835;274075
2020;Juni;2853307;49254;277452
2020;Juli;2910008;52756;295501
2020;August;2955487;65198;324139
2020;September;2847148;57358;292378
2020;Oktober;2759780;51742;261002
2020;November;2699133;47869;240622
2020;Dezember;2707242;46430;236401
2021;Januar;2900663;46914;250943
2021;Februar;2904413;48242;263236
2021;März;2827449;46384;254063
2021;April;2771232;43671;240634
2021;Mai;2687191;41521;228282
2021;Juni;2613825;39764;220041
2021;Juli;2590310;43758;235826
2021;August;2578471;55135;250501
2021;September;2464793;46643;217701
2021;Oktober;2376925;42915;194827
2021;November;2317067;39911;183281
2021;Dezember;2329529;38529;179814
2022;Januar;2462162;38611;189134
2022;Februar;2427956;38509;193925
2022;März;2362162;37678;189134
2022;April;2309207;36420;183376
2022;Mai;2259648;35383;177667
2022;Juni;2362888;43328;193910
2022;Juli;2470243;50677;223806
2022;August;2547344;64450;248395
2022;September;2485738;58182;227373
2022;Oktober;2442345;53680;210101
2022;November;2434021;50362;202922
2022;Dezember;2453879;48914;201884
2023;Januar;2616019;49717;214984
2023;Februar;2620169;50102;223940
2023;März;2593774;49594;223073
2023;April;2585677;48452;219569
2023;Mai;2543743;46858;214540
2023;Juni;2554982;46369;217244
2023;Juli;2617192;52474;242058
2023;August;2695827;67522;267161
2023;September;2627099;60388;244252
2023;Oktober;2607116;58865;232333
2023;November;2605732;55897;225521
2023;Dezember;2636728;55027;227072
2024;Januar;2805376;55442;238673
2024;Februar;2813813;56345;249122
2024;März;2769282;55154;245498
2024;April;2749578;53501;240214
2024;Mai;2722548;52128;235553
2024;Juni;2726572;52699;240387
2024;Juli;2808720;59551;268009
2024;August;2871913;75563;292679
2024;September;2806361;68528;271022
2024;Oktober;2790529;66535;258426
2024;November;2774028;63072;250849
2024;Dezember;2806625;62432;252902
2025;Januar;2992658;62432;265194
2025;Februar;2989220;62602;273167
2025;März;2967080;61409;271012
2025;April;2931554;59786;263311
2025;Mai;2919139;57927;257607
2025;Juni;2914256;57159;257958
2025;Juli;2979486;64059;286345
2025;August;3025136;81489;311820
2025;September;2954747;74658;290640
2025;Oktober;;;
2025;November;;;
2025;Dezember;;;
