Jahr;Insgesamt Tausend;Unbesetzte Ausbildungsplätze;Ausbildungsplatzangebot;Ausbildungsplatznachfrage
2010;560.0;19.5;579.5;644.5
2011;569.4;29.6;598.9;641.5
2012;551.3;33.2;584.4;627.2
2013;529.5;33.7;563.2;612.8
2014;523.2;37.0;560.2;604.1
2015;522.2;41.5;563.7;603.1
2016;520.3;43.5;563.7;600.8
2017;523.3;48.9;572.2;603.5
2018;531.4;57.6;589.1;610.0
2019;525.0;53.1;578.2;598.6
2020;467.5;59.9;527.4;545.4
2021;473.1;63.2;536.2;540.7
2022;475.1;68.9;544.0;535.3
2023;489.2;73.4;562.6;552.3
2024;486.7;69.4;556.1;555.8
